rc_number,sources,status
MH50A5337,renewbuy,deny
JK071787,renewbuy,deny
DL4CAY4680,renewbuy,deny
TN20CL6046,renewbuy,deny
KA05MF8603,renewbuy,deny
TN63AS8650,renewbuy,deny
TN03F0564,renewbuy,deny
GJ2R9813,renewbuy,deny
JK05A8197,renewbuy,deny
UK04TA8503,renewbuy,deny
DL12CL2312,renewbuy,deny
JK152485,renewbuy,deny
HR26CG3425,renewbuy,deny
BR26PA0429,renewbuy,deny
TN22BL6931,renewbuy,deny
UK04F2080,renewbuy,deny
KA04AA2995,renewbuy,deny
MH14EU9448,renewbuy,deny
TN02AR1143,renewbuy,deny
TN18C7376,renewbuy,deny
TN20BA4479,renewbuy,deny
TN07AH0100,renewbuy,deny
DL4CAQ1622,renewbuy,deny
RJ20PA5479,renewbuy,deny
UP13AT3660,renewbuy,deny
DL5CD9451,renewbuy,deny
HR51AC4040,renewbuy,deny
OR10E0734,renewbuy,deny
UP14AZ1496,renewbuy,deny
HP01S1851,renewbuy,deny
GA08R4213,renewbuy,deny
MH04JK2442,renewbuy,deny
MH01AM3494,renewbuy,deny
JK04A8035,renewbuy,deny
OD10C3426,renewbuy,deny
KA29B3356,renewbuy,deny
MH02BQ9476,renewbuy,deny
DL8CM3254,renewbuy,deny
TN22CA1392,renewbuy,deny
UP78CR6843,renewbuy,deny
DL8CS2618,renewbuy,deny
KA51AA1688,renewbuy,deny
PB09H2666,renewbuy,deny
TN25BZ5716,renewbuy,deny
TN69AD2909,renewbuy,deny
TN12W7890,renewbuy,deny
TN02AL4776,renewbuy,deny
TN18D3416,renewbuy,deny
TN04AM2904,renewbuy,deny
DL8CAN3054,renewbuy,deny
CH01AH9904,renewbuy,deny
TN14J3085,renewbuy,deny
DL3CAY2925,renewbuy,deny
DL13C6672,renewbuy,deny
DL1T9618,renewbuy,deny
DL1CAC2740,renewbuy,deny
TN12T7061,renewbuy,deny
TN10Z0673,renewbuy,deny
TN20BU1915,renewbuy,deny
DL10CS1349,renewbuy,deny
DL8CZ5390,renewbuy,deny
DL2CAH7161,renewbuy,deny
DL9CU0921,renewbuy,deny
JK05A6243,renewbuy,deny
JK05B5188,renewbuy,deny
JK154819,renewbuy,deny
KA16D4559,renewbuy,deny
TN20CA8820,renewbuy,deny
TN22DC0850,renewbuy,deny
DL1NA1617,renewbuy,deny
TN45BA5598,renewbuy,deny
TN31BL8078,renewbuy,deny
UK04TA4041,renewbuy,deny
DL1RT9415,renewbuy,deny
JK04C4989,renewbuy,deny
JK04A8243,renewbuy,deny
JK05B7079,renewbuy,deny
MH04HM6169,renewbuy,deny
JK151977,renewbuy,deny
UP65S4247,renewbuy,deny
HR26CS9948,renewbuy,deny
DL1RTA3049,renewbuy,deny
GJ1HT1846,renewbuy,deny
MH01AT2908,renewbuy,deny
MH12DM2736,renewbuy,deny
JK05A9936,renewbuy,deny
JK05A8957,renewbuy,deny
MH06AB7255,renewbuy,deny
JK01S7917,renewbuy,deny
HR79A7107,renewbuy,deny
KA51AA1520,renewbuy,deny
TN10BL4640,renewbuy,deny
UP70AN5700,renewbuy,deny
JK01L4200,renewbuy,deny
JK151471,renewbuy,deny
TN50H1104,renewbuy,deny
MH10C9714,renewbuy,deny
MH04Y9277,renewbuy,deny
TN22DQ8836,renewbuy,deny
DL5CK4399,renewbuy,deny
HR51BA7057,renewbuy,deny
TN11AP3907,renewbuy,deny
MH43B0400,renewbuy,deny
TN05AF6423,renewbuy,deny
TN10AX1176,renewbuy,deny
DL7CG2809,renewbuy,deny
JK04C3175,renewbuy,deny
JK01M2641,renewbuy,deny
JK02BU3369,renewbuy,deny
JH05BZ3947,renewbuy,deny
TN72BX8753,renewbuy,deny
DL1RT4364,renewbuy,deny
HR26EA0022,renewbuy,deny
HR26EG3693,renewbuy,deny
HR51BX3739,renewbuy,deny
TN09BF1302,renewbuy,deny
MH04JP4455,renewbuy,deny
HR51AH3630,renewbuy,deny
UP72BL0962,renewbuy,deny
TN14E1798,renewbuy,deny
TN18S2013,renewbuy,deny
TN07S1363,renewbuy,deny
TN76K6237,renewbuy,deny
TN22BR0947,renewbuy,deny
DL03CBV3945,renewbuy,deny
JK01M7347,renewbuy,deny
TN19J6862,renewbuy,deny
TN18AA7072,renewbuy,deny
JK163677,renewbuy,deny
DL3CAW3700,renewbuy,deny
TN12H8824,renewbuy,deny
TN25BZ8574,renewbuy,deny
TN12W1096,renewbuy,deny
MH05BS6933,renewbuy,deny
MH11H7547,renewbuy,deny
TN02AD7382,renewbuy,deny
MH12DM5065,renewbuy,deny
UP70BP9283,renewbuy,deny
JK05E3062,renewbuy,deny
TN22DC0740,renewbuy,deny
JK154678,renewbuy,deny
MH04BY5445,renewbuy,deny
TN09BJ7497,renewbuy,deny
TN22DB5194,renewbuy,deny
TN12S5743,renewbuy,deny
UP62T6380,renewbuy,deny
TN25AW1966,renewbuy,deny
TN18C7954,renewbuy,deny
JK09A1343,renewbuy,deny
MH04GD4238,renewbuy,deny
SK02J0574,renewbuy,deny
WB41G6948,renewbuy,deny
JK05A6119,renewbuy,deny
UK04TA4674,renewbuy,deny
JK05B1321,renewbuy,deny
UP78BR7860,renewbuy,deny
MH03BC5192,renewbuy,deny
TN85H1941,renewbuy,deny
MH48AK3949,renewbuy,deny
DL04CG6444,renewbuy,deny
TN20CJ6080,renewbuy,deny
MH11CH4827,renewbuy,deny
MH04GD5686,renewbuy,deny
TN19AF3003,renewbuy,deny
JK05D7554,renewbuy,deny
MH10AN7778,renewbuy,deny
WB769162,renewbuy,deny
TN10AB6349,renewbuy,deny
WB480276,renewbuy,deny
JK04B7095,renewbuy,deny
TN22BM6897,renewbuy,deny
TN13L5591,renewbuy,deny
OR21B9859,renewbuy,deny
MH06BU4966,renewbuy,deny
UP83L7955,renewbuy,deny
PB10EN5677,renewbuy,deny
PB10CN1493,renewbuy,deny
AS03Y2489,renewbuy,deny
AP07AU8989,renewbuy,deny
BR30P7713,renewbuy,deny
HR51AR3970,renewbuy,deny
HR55AA4075,renewbuy,deny
JK05C2186,renewbuy,deny
TN22CV2524,renewbuy,deny
MH04CM4019,renewbuy,deny
MH04GD7459,renewbuy,deny
BR02R8003,renewbuy,deny
MH01AL1798,renewbuy,deny
MH46X2305,renewbuy,deny
TN59BZ1567,renewbuy,deny
TN18D4627,renewbuy,deny
MH48F2923,renewbuy,deny
TN18AK3561,renewbuy,deny
MH24AF1925,renewbuy,deny
MH501520,renewbuy,deny
MH02BG1422,renewbuy,deny
MH04BS2843,renewbuy,deny
MH04GD2603,renewbuy,deny
TN05AD1291,renewbuy,deny
MH12DE3225,renewbuy,deny
TN04AU1417,renewbuy,deny
TN65Y6517,renewbuy,deny
TN18AK1280,renewbuy,deny
TN18H1567,renewbuy,deny
TN22BL4828,renewbuy,deny
TN18D4413,renewbuy,deny
KA13A9512,renewbuy,deny
TN20CC8352,renewbuy,deny
KA05AE4405,renewbuy,deny
HR26ER4256,renewbuy,deny
MH43BE3933,renewbuy,deny
TN07AD6703,renewbuy,deny
MH04HY8876,renewbuy,deny
TN22BM6550,renewbuy,deny
TN22BP4237,renewbuy,deny
TN10Z0221,renewbuy,deny
TN20BE1542,renewbuy,deny
TN18Z5721,renewbuy,deny
MH04HY1360,renewbuy,deny
SK02J0990,renewbuy,deny
TN12T2293,renewbuy,deny
JK05B7097,renewbuy,deny
MH04GM9051,renewbuy,deny
UP13AT2056,renewbuy,deny
HR19M4620,renewbuy,deny
HR642711,renewbuy,deny
MH04GD8595,renewbuy,deny
MH11AK0826,renewbuy,deny
HR61D4110,renewbuy,deny
HR70B7628,renewbuy,deny
MH24AF9369,renewbuy,deny
OD02AH0353,renewbuy,deny
DL8CX9972,renewbuy,deny
KL45M9090,renewbuy,deny
TN03AB0387,renewbuy,deny
TN18Q4486,renewbuy,deny
TN02BK7759,renewbuy,deny
TN20AQ8263,renewbuy,deny
JK05B5862,renewbuy,deny
MH12NX3116,renewbuy,deny
MH48F4644,renewbuy,deny
MH09AZ5050,renewbuy,deny
DL12CE9727,renewbuy,deny
TN11AK7347,renewbuy,deny
TN05BK2921,renewbuy,deny
TN12R9751,renewbuy,deny
TN22BK1627,renewbuy,deny
OR10G5579,renewbuy,deny
MH04ED7211,renewbuy,deny
MH04BN0967,renewbuy,deny
DL3CBJ6865,renewbuy,deny
DL3CBU5396,renewbuy,deny
DL3CBM8292,renewbuy,deny
MH03CH1247,renewbuy,deny
PB11BA5749,renewbuy,deny
TN14A9158,renewbuy,deny
TN22BP3696,renewbuy,deny
HR68A1566,renewbuy,deny
TN22CB1813,renewbuy,deny
TN03L7322,renewbuy,deny
TN18AH3340,renewbuy,deny
MH01CD8933,renewbuy,deny
KA04AB5772,renewbuy,deny
